sample_id,filename,architecture,primitives,crypto_protocols,length_bytes
s0001,s0001.hex,arm,"AES,ChaCha20",Bluetooth_LE,4143
s0002,s0002.hex,arm,"AES,RSA",IPSec,291
s0003,s0003.hex,mips,"ChaCha20,SHA1,SHA256","Bluetooth_CLASSIC,TLS1.2",324
s0004,s0004.hex,x86,"AES,ChaCha20,ECDSA,SHA256",WPA2,2100
s0005,s0005.hex,mips,"ChaCha20,GCM,HMAC","Bluetooth_CLASSIC,TLS1.2,WPA2",326
s0006,s0006.hex,arm64,"ECDSA,GCM,HMAC,SHA256","Bluetooth_LE,TLS1.3,WPA2",2118
s0007,s0007.hex,x86_64,"ChaCha20,ECDSA,GCM,SHA256",Bluetooth_LE,575
s0008,s0008.hex,powerpc,"ChaCha20,ECDHE,GCM,SHA1","Bluetooth_LE,IPSec",324
s0009,s0009.hex,arm,"ECDHE,ECDSA,GCM,HMAC","IPSec,TLS1.2",311
s0010,s0010.hex,arm,"ChaCha20,GCM,HMAC","Bluetooth_CLASSIC,Bluetooth_LE,WPA2",331
s0011,s0011.hex,x86_64,"ECDHE,ECDSA,GCM","Bluetooth_LE,SSH",313
s0012,s0012.hex,x86_64,"ChaCha20,ECDSA,GCM,SHA256","DTLS,IPSec,TLS1.3",4164
s0013,s0013.hex,powerpc,"GCM,HMAC,SHA1,SHA256","Bluetooth_CLASSIC,WPA3",2117
s0014,s0014.hex,powerpc,"HMAC,RSA,SHA256",IPSec,303
s0015,s0015.hex,arm,"HMAC,RSA",TLS1.3,549
s0016,s0016.hex,x86,"AES,ECDHE",SSH,2083
s0017,s0017.hex,x86,"ChaCha20,SHA1","Bluetooth_LE,TLS1.3,WPA3",4156
s0018,s0018.hex,x86_64,"ChaCha20,ECDSA,HMAC,SHA1","TLS1.2,WPA2",317
s0019,s0019.hex,arm,"AES,ECDSA,GCM,SHA256","Bluetooth_LE,TLS1.3,WPA2",323
s0020,s0020.hex,arm,"RSA,SHA256","IPSec,TLS1.3,WPA2",2098
s0021,s0021.hex,x86,"ECDHE,GCM,SHA1,SHA256","DTLS,WPA2",565
s0022,s0022.hex,x86_64,"AES,ChaCha20,HMAC,SHA256","DTLS,SSH",4154
s0023,s0023.hex,x86,"HMAC,RSA,SHA1",SSH,551
s0024,s0024.hex,powerpc,"ECDSA,GCM","Bluetooth_CLASSIC,WPA3",4154
s0025,s0025.hex,powerpc,"RSA,SHA1,SHA256",SSH,301
s0026,s0026.hex,powerpc,"AES,ChaCha20,SHA1","Bluetooth_CLASSIC,DTLS,TLS1.2",4169
s0027,s0027.hex,mips,"HMAC,SHA1",Bluetooth_LE,557
s0028,s0028.hex,x86_64,"GCM,RSA",Bluetooth_CLASSIC,562
s0029,s0029.hex,mips,"GCM,HMAC,SHA256",IPSec,4140
s0030,s0030.hex,powerpc,"AES,ChaCha20,GCM",IPSec,4144
s0031,s0031.hex,mips,"ECDSA,SHA1","SSH,WPA2",2090
s0032,s0032.hex,powerpc,"ECDSA,GCM,HMAC,RSA","Bluetooth_CLASSIC,TLS1.2,TLS1.3",332
s0033,s0033.hex,arm,"ECDHE,ECDSA,SHA256","TLS1.2,WPA2",4148
s0034,s0034.hex,x86,"ECDSA,HMAC",DTLS,4133
s0035,s0035.hex,x86,"AES,RSA,SHA1,SHA256",SSH,557
s0036,s0036.hex,arm64,"AES,ECDHE,GCM,HMAC","Bluetooth_CLASSIC,SSH,TLS1.3",4167
s0037,s0037.hex,x86_64,"AES,ECDHE,GCM,HMAC","SSH,TLS1.2,TLS1.3",317
s0038,s0038.hex,powerpc,"AES,ECDHE,RSA,SHA256","IPSec,TLS1.2,WPA2",2112
s0039,s0039.hex,x86_64,"ChaCha20,ECDSA,GCM,HMAC",WPA2,4149
s0040,s0040.hex,x86,"ECDHE,ECDSA,RSA",Bluetooth_LE,562
s0041,s0041.hex,arm64,"AES,ECDSA,HMAC,RSA","Bluetooth_CLASSIC,DTLS",577
s0042,s0042.hex,arm64,"AES,ECDSA,GCM,HMAC","Bluetooth_CLASSIC,SSH,TLS1.2",327
s0043,s0043.hex,arm64,"ECDSA,GCM,SHA1",SSH,554
s0044,s0044.hex,x86_64,"ChaCha20,RSA","IPSec,WPA3",560
s0045,s0045.hex,mips,"GCM,HMAC,RSA,SHA256","IPSec,WPA3",565
s0046,s0046.hex,mips,"AES,RSA",WPA2,547
s0047,s0047.hex,x86,"ECDSA,SHA256","SSH,WPA2",2091
s0048,s0048.hex,powerpc,"GCM,SHA1","Bluetooth_CLASSIC,IPSec,TLS1.2",321
s0049,s0049.hex,x86_64,"AES,HMAC,SHA256","Bluetooth_LE,TLS1.3",316
s0050,s0050.hex,x86_64,"ChaCha20,GCM,HMAC","Bluetooth_CLASSIC,SSH",320
s0051,s0051.hex,arm64,"AES,ECDHE,GCM,RSA","SSH,WPA3",306
s0052,s0052.hex,x86_64,"ChaCha20,GCM,SHA1",Bluetooth_LE,2103
s0053,s0053.hex,arm64,"ChaCha20,ECDHE,RSA,SHA256","IPSec,WPA3",4156
s0054,s0054.hex,x86_64,"AES,ChaCha20,HMAC","Bluetooth_CLASSIC,SSH,WPA3",4165
s0055,s0055.hex,mips,"ChaCha20,RSA,SHA256","Bluetooth_CLASSIC,IPSec,SSH",326
s0056,s0056.hex,x86,"ECDHE,ECDSA,HMAC",TLS1.2,2093
s0057,s0057.hex,mips,"AES,GCM,HMAC,SHA256",IPSec,2096
s0058,s0058.hex,x86_64,"ChaCha20,SHA1",Bluetooth_LE,2099
s0059,s0059.hex,x86_64,"ChaCha20,GCM","IPSec,WPA3",4144
s0060,s0060.hex,mips,"ECDSA,HMAC,RSA,SHA256","Bluetooth_LE,IPSec,TLS1.2",4166
s0061,s0061.hex,x86_64,"ChaCha20,HMAC,RSA",SSH,558
s0062,s0062.hex,arm,"ChaCha20,ECDSA","TLS1.3,WPA2,WPA3",309
s0063,s0063.hex,x86,"AES,ChaCha20,ECDHE","IPSec,TLS1.2,WPA2",570
s0064,s0064.hex,powerpc,"AES,ECDHE,HMAC,SHA256",WPA3,564
s0065,s0065.hex,arm,"AES,GCM","IPSec,TLS1.2",554
s0066,s0066.hex,powerpc,"AES,ECDHE","DTLS,IPSec,WPA3",563
s0067,s0067.hex,x86,"RSA,SHA1","Bluetooth_CLASSIC,TLS1.3",567
s0068,s0068.hex,x86_64,"GCM,SHA256","DTLS,WPA2,WPA3",2098
s0069,s0069.hex,arm64,"GCM,RSA","Bluetooth_CLASSIC,TLS1.3,WPA2",573
s0070,s0070.hex,x86_64,"ChaCha20,ECDHE","TLS1.3,WPA2",4147
s0071,s0071.hex,powerpc,"ECDHE,ECDSA,HMAC,RSA","Bluetooth_CLASSIC,IPSec,SSH",330
