id,file,algo,protocol,arch,opcode_count,nodes,edges,entropy
0,sample_0000_x86.bin,HMAC,WiFi,x86,105,6,16,3.34
1,sample_0001_avr.bin,DES-ECB,Bluetooth,avr,62,11,9,3.57
2,sample_0002_riscv.bin,Blowfish-ECB,DTLS,riscv,197,13,17,5.32
3,sample_0003_arm.bin,AES-CBC,SSH,arm,66,9,9,1.5
4,sample_0004_riscv.bin,CHACHA20,SSH,riscv,91,12,8,4.77
5,sample_0005_avr.bin,DES-ECB,WiFi,avr,171,6,23,7.17
6,sample_0006_mips.bin,RC4-CBC,DTLS,mips,120,9,10,4.66
7,sample_0007_risc.bin,CAST-CBC,DTLS,risc,58,9,7,6.15
8,sample_0008_riscv.bin,3DES-CBC,TLS,riscv,191,6,14,5.88
9,sample_0009_z80.bin,ECDSA,SSH,z80,156,12,11,1.1
10,sample_0010_riscv.bin,SHA256,TLS,riscv,79,17,11,2.94
11,sample_0011_arm.bin,CAST-CBC,TLS,arm,108,18,7,0.99
12,sample_0012_mips.bin,AES-CBC,DTLS,mips,151,18,5,4.01
13,sample_0013_risc.bin,Blowfish-ECB,Bluetooth,risc,71,11,25,0.39
14,sample_0014_z80.bin,RC4-ECB,DTLS,z80,141,10,17,3.1
15,sample_0015_risc.bin,RC4-ECB,TLS,risc,175,14,22,0.29
16,sample_0016_riscv.bin,CAST-CBC,SSH,riscv,188,14,19,5.57
17,sample_0017_arm.bin,Blowfish-CBC,Bluetooth,arm,147,15,25,4.97
18,sample_0018_z80.bin,ECDHE,SSH,z80,64,8,24,1.45
19,sample_0019_x86.bin,IDEA-ECB,Bluetooth,x86,83,8,14,7.76
20,sample_0020_mips.bin,Blowfish-ECB,DTLS,mips,154,13,21,3.83
21,sample_0021_x86.bin,ECDHE,TLS,x86,177,12,12,1.38
22,sample_0022_arm.bin,Twofish-CBC,DTLS,arm,132,15,17,0.43
23,sample_0023_x86.bin,ECDHE,SSH,x86,69,8,18,4.01
24,sample_0024_avr.bin,AES-ECB,DTLS,avr,67,8,21,6.55
25,sample_0025_z80.bin,HMAC,TLS,z80,185,20,16,2.65
26,sample_0026_risc.bin,ECDHE,DTLS,risc,59,8,18,6.76
27,sample_0027_riscv.bin,RC4-ECB,WiFi,riscv,93,15,12,6.11
28,sample_0028_avr.bin,3DES-ECB,DTLS,avr,99,18,21,0.86
29,sample_0029_avr.bin,CHACHA20,Bluetooth,avr,140,10,23,1.84
30,sample_0030_riscv.bin,DES-ECB,Bluetooth,riscv,126,13,21,3.14
31,sample_0031_risc.bin,RSA,SSH,risc,138,11,25,3.22
32,sample_0032_avr.bin,Twofish-CBC,TLS,avr,151,15,21,7.8
33,sample_0033_x86.bin,RC4-CBC,WiFi,x86,89,6,19,3.01
34,sample_0034_arm.bin,HMAC,Bluetooth,arm,98,18,12,7.86
35,sample_0035_arm.bin,CAST-ECB,DTLS,arm,114,20,20,2.67
36,sample_0036_x86.bin,RC4-ECB,Bluetooth,x86,64,11,5,2.17
37,sample_0037_x86.bin,ECDSA,TLS,x86,60,16,22,4.5
38,sample_0038_arm.bin,ECDHE,Bluetooth,arm,76,9,11,0.64
39,sample_0039_risc.bin,3DES-CBC,SSH,risc,141,17,8,4.59
40,sample_0040_riscv.bin,DES-ECB,WiFi,riscv,160,15,13,0.82
41,sample_0041_arm.bin,IDEA-ECB,DTLS,arm,118,10,19,4.37
42,sample_0042_x86.bin,ECDHE,SSH,x86,124,8,12,3.01
43,sample_0043_z80.bin,AES-ECB,WiFi,z80,95,11,16,4.34
44,sample_0044_riscv.bin,CAST-ECB,Bluetooth,riscv,113,11,23,3.3
45,sample_0045_x86.bin,CAST-CBC,WiFi,x86,147,9,12,3.49
46,sample_0046_avr.bin,Twofish-ECB,TLS,avr,198,16,25,7.12
47,sample_0047_riscv.bin,CHACHA20,WiFi,riscv,54,13,7,2.67
48,sample_0048_avr.bin,AES-ECB,DTLS,avr,110,17,22,3.38
49,sample_0049_risc.bin,Twofish-ECB,TLS,risc,60,14,6,1.22
50,sample_0050_mips.bin,ECDSA,SSH,mips,116,16,23,5.16
51,sample_0051_x86.bin,ECDSA,DTLS,x86,79,9,5,4.07
52,sample_0052_avr.bin,RSA,Bluetooth,avr,161,8,22,1.01
53,sample_0053_x86.bin,Twofish-ECB,Bluetooth,x86,187,13,18,3.37
54,sample_0054_mips.bin,ECDSA,TLS,mips,82,19,7,7.44
55,sample_0055_arm.bin,CAST-CBC,Bluetooth,arm,122,8,20,6.08
